Title,Brand,Storage,RAM,Battery,Camera,Chipset,OS,CPU_Cores
گوشی نوکیا (استوک) 2730  حافظه 30 مگابایت,Nokia,,0 GB,0 mAh,,,,
گوشی شیائومی Redmi Note 14 4G  حافظه 256 رم 8 GB,Xiaomi,256 GB,8 GB,5500 mAh,108 MP,Mediatek Helio G99 Ultra (6 nm),Android,8 هسته
گوشی سامسونگ A56 5G  حافظه 256 رم 8 GB,Samsung,256 GB,8 GB,5000 mAh,50 MP,Exynos 1580,اندروید,8 هسته
گوشی سامسونگ (ویتنام) S25 FE 5G  حافظه 256 رم 8 GB,Samsung,256 GB,8 GB,4900 mAh,50 MP,,android 14,
گوشی سامسونگ (ویتنام) S25 Ultra 5G  حافظه 256 رم 12 GB,Samsung,256 GB,12 GB,5000 mAh,200 MP,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Android,8 هسته
گوشی سامسونگ (ویتنام) A36 5G  حافظه 256 رم 8 GB,Samsung,256 GB,8 GB,5000 mAh,50 MP,,Android,
گوشی شیائومی Redmi Note 14S  حافظه 256 رم 8 GB,Xiaomi,256 GB,8 GB,5000 mAh,200 MP,Mediatek Helio G99 Ultra,Android,8 هسته
گوشی سامسونگ (ویتنام) A16  حافظه 128 رم 4 GB,Samsung,128 GB,4 GB,5000 mAh,50 MP,,android 14,8 هسته
گوشی سامسونگ A26 5G  حافظه 256 رم 8 GB,Samsung,256 GB,8 GB,5000 mAh,50 MP,Exynos 1380,اندروید,8 هسته
گوشی شیائومی Redmi Note 14 Pro 4G  حافظه 256 رم 8 GB,Xiaomi,256 GB,8 GB,5500 mAh,200 MP,Mediatek Helio G100 Ultra (6 nm),Android,8 هسته
گوشی آیفون 16  حافظه 128 GB دو سیم‌کارت نات اکتیو,Apple,128 GB,8 GB,3561 mAh,48 MP,Apple A18 (3 nm),iOS,6 هسته
گوشی شیائومی Poco X7 Pro 5G  حافظه 512 رم 12 GB,Xiaomi,512 GB,12 GB,6000 mAh,50 MP,,Android,
گوشی آیفون 17 پرو مکس  حافظه 256 GB نات اکتیو,Apple,256 GB,12 GB,4832 mAh,48 MP,,ios 26,6 هسته
گوشی سامسونگ A56 5G  حافظه 128 رم 8 GB,Samsung,128 GB,8 GB,5000 mAh,50 MP,Exynos 1580,اندروید,8 هسته
گوشی سامسونگ (چین) A07 4G  حافظه 64 رم 4 GB,Samsung,64 GB,4 GB,5000 mAh,50 MP,mediatek-helio-g99,اندروید,8 هسته
گوشی شیائومی Redmi A5 4G  حافظه 128 رم 4 GB,Xiaomi,128 GB,4 GB,5200 mAh,32 MP,,اندروید 15,8 هسته‌ای
